"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\TaskFlow\src\App.css", "PostCSS", 0, 0, 28, 0, 0, 10, 38
"c:\TaskFlow\src\App.jsx", "JavaScript JSX", 100, 0, 0, 0, 3, 11, 114
"c:\TaskFlow\src\api\http\auth\login\loginUser.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"c:\TaskFlow\src\api\http\auth\logout\logoutUser.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\TaskFlow\src\api\http\auth\refresh\refreshToken.js", "JavaScript", 0, 21, 0, 0, 0, 4, 25
"c:\TaskFlow\src\api\http\auth\reset\resetPassword.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\api\http\auth\reset\resetPasswordConfirm.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\api\http\auth\reset\resetPasswordRequest.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\api\http\boards\createBoard.js", "JavaScript", 0, 20, 0, 0, 0, 3, 23
"c:\TaskFlow\src\api\http\boards\deleteBoard.js", "JavaScript", 0, 5, 0, 0, 0, 2, 7
"c:\TaskFlow\src\api\http\boards\getBoards.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\TaskFlow\src\api\http\boards\updateBoard.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"c:\TaskFlow\src\api\http\http.js", "JavaScript", 0, 110, 0, 0, 0, 10, 120
"c:\TaskFlow\src\api\http\tasks\createTask.js", "JavaScript", 0, 30, 0, 0, 16, 7, 53
"c:\TaskFlow\src\api\http\tasks\deleteTask.js", "JavaScript", 0, 5, 0, 0, 0, 2, 7
"c:\TaskFlow\src\api\http\tasks\getTasks.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"c:\TaskFlow\src\api\http\tasks\updateTask.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"c:\TaskFlow\src\api\http\users\create\createUser.js", "JavaScript", 0, 8, 0, 0, 0, 3, 11
"c:\TaskFlow\src\api\http\users\create\createUserConfirm.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"c:\TaskFlow\src\api\http\users\delete\deleteUser.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"c:\TaskFlow\src\api\http\users\delete\deleteUserConfirm.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\TaskFlow\src\api\http\users\get\getUser.js", "JavaScript", 0, 17, 0, 0, 0, 3, 20
"c:\TaskFlow\src\api\http\users\update\updateUser.js", "JavaScript", 0, 38, 0, 0, 0, 8, 46
"c:\TaskFlow\src\api\http\users\update\updateUserConfirm.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\TaskFlow\src\api\ws\ws.js", "JavaScript", 0, 36, 0, 0, 3, 11, 50
"c:\TaskFlow\src\assets\react.svg", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\TaskFlow\src\components\dashboard-components\BoardCard.jsx", "JavaScript JSX", 80, 0, 0, 0, 0, 9, 89
"c:\TaskFlow\src\components\dashboard-components\ColorSelector.jsx", "JavaScript JSX", 117, 0, 0, 0, 0, 6, 123
"c:\TaskFlow\src\components\dashboard-components\FilterForm.jsx", "JavaScript JSX", 186, 0, 0, 0, 0, 4, 190
"c:\TaskFlow\src\components\dashboard-components\PaginationControl.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 4, 54
"c:\TaskFlow\src\components\dashboard-components\SearchBar.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\TaskFlow\src\components\dashboard-components\board-details\BoardHeader.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 3, 124
"c:\TaskFlow\src\components\dashboard-components\board-details\BoardLoader.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 2, 18
"c:\TaskFlow\src\components\dashboard-components\board-details\TaskList.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 3, 75
"c:\TaskFlow\src\components\dashboard-components\board-details\TaskSortControl.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 2, 66
"c:\TaskFlow\src\components\dashboard-components\create-task-components\AttributeSelector.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 2, 54
"c:\TaskFlow\src\components\dashboard-components\create-task-components\TaskFormInputs.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 1, 33
"c:\TaskFlow\src\components\dashboard-components\create-task-components\TaskFormSelectors.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 4, 54
"c:\TaskFlow\src\components\dashboard-components\dnd\SortableTaskCard.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 4, 40
"c:\TaskFlow\src\components\dashboard-components\modals\BoardDetailsModal.jsx", "JavaScript JSX", 175, 0, 0, 0, 0, 13, 188
"c:\TaskFlow\src\components\dashboard-components\modals\CreateBoardModal.jsx", "JavaScript JSX", 164, 0, 0, 0, 0, 8, 172
"c:\TaskFlow\src\components\dashboard-components\modals\CreateTaskModal.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 5, 125
"c:\TaskFlow\src\components\dashboard-components\modals\DeleteBoardModal.jsx", "JavaScript JSX", 115, 0, 0, 0, 0, 8, 123
"c:\TaskFlow\src\components\dashboard-components\modals\TaskDetailsModal.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 13, 96
"c:\TaskFlow\src\components\dashboard-components\page-components\BoardGrid.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 2, 19
"c:\TaskFlow\src\components\dashboard-components\page-components\DashboardHeader.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 2, 53
"c:\TaskFlow\src\components\dashboard-components\page-components\DashboardLoader.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\TaskFlow\src\components\home-components\About.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 2, 39
"c:\TaskFlow\src\components\home-components\Advantages.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 2, 38
"c:\TaskFlow\src\components\home-components\Contacts.jsx", "JavaScript JSX", 102, 0, 0, 0, 0, 5, 107
"c:\TaskFlow\src\components\home-components\FAQ.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 5, 57
"c:\TaskFlow\src\components\home-components\Features.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 2, 64
"c:\TaskFlow\src\components\home-components\Hero.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 2, 59
"c:\TaskFlow\src\components\home-components\HowItWorks.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 2, 29
"c:\TaskFlow\src\components\home-components\Partners.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 1, 47
"c:\TaskFlow\src\components\home-components\Reviewers.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 2, 29
"c:\TaskFlow\src\components\home-components\Security.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 6, 65
"c:\TaskFlow\src\components\home-components\Slider.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 2, 47
"c:\TaskFlow\src\components\main-components\AnimatedError.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 4, 43
"c:\TaskFlow\src\components\main-components\BackToTop.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 5, 35
"c:\TaskFlow\src\components\main-components\ErrorPage.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 6, 31
"c:\TaskFlow\src\components\main-components\Footer.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 3, 86
"c:\TaskFlow\src\components\main-components\Header.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 8, 119
"c:\TaskFlow\src\components\main-components\Loader.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\TaskFlow\src\components\main-components\Page.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 2, 18
"c:\TaskFlow\src\components\main-components\Separator.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 1, 20
"c:\TaskFlow\src\components\main-components\checkbox\FormikCheckbox.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 4, 41
"c:\TaskFlow\src\components\main-components\checkbox\SimpleСheckBox.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 2, 32
"c:\TaskFlow\src\components\main-components\route-auth\PrivateRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 4, 14
"c:\TaskFlow\src\components\main-components\route-auth\PublicRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 4, 14
"c:\TaskFlow\src\components\main-components\user\DeleteUserModal.jsx", "JavaScript JSX", 181, 0, 0, 0, 0, 6, 187
"c:\TaskFlow\src\components\main-components\user\LogoutUserModal.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 4, 87
"c:\TaskFlow\src\components\main-components\user\UpdateUserModal.jsx", "JavaScript JSX", 241, 0, 0, 0, 27, 13, 281
"c:\TaskFlow\src\components\register-components\RegisterFirstStep.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 10, 207
"c:\TaskFlow\src\components\register-components\RegisterSecondStep.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 4, 83
"c:\TaskFlow\src\components\register-components\RegisterThirdStep.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 2, 27
"c:\TaskFlow\src\components\task-components\TaskCard.jsx", "JavaScript JSX", 81, 0, 0, 0, 25, 4, 110
"c:\TaskFlow\src\components\task-components\details\TaskDeadline.jsx", "JavaScript JSX", 55, 0, 0, 0, 0, 4, 59
"c:\TaskFlow\src\components\task-components\details\TaskDescription.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 2, 20
"c:\TaskFlow\src\components\task-components\details\TaskDetailsHeader.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 2, 84
"c:\TaskFlow\src\components\task-components\details\TaskStatusSidebar.jsx", "JavaScript JSX", 94, 0, 0, 0, 0, 3, 97
"c:\TaskFlow\src\components\task-components\details\TaskTimestamps.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 2, 28
"c:\TaskFlow\src\config\blockedPublicPaths.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\config\routes.js", "JavaScript", 0, 76, 0, 0, 0, 12, 88
"c:\TaskFlow\src\data\advantages.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 2, 54
"c:\TaskFlow\src\data\faqs.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 1, 65
"c:\TaskFlow\src\data\filterAndSortData.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 7, 46
"c:\TaskFlow\src\data\legalLinks.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 1, 10
"c:\TaskFlow\src\data\logos.jsx", "JavaScript JSX", 107, 0, 0, 0, 0, 1, 108
"c:\TaskFlow\src\data\navLinks.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\TaskFlow\src\data\privacy.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 1, 68
"c:\TaskFlow\src\data\reviewers.jsx", "JavaScript JSX", 98, 0, 0, 0, 0, 2, 100
"c:\TaskFlow\src\data\security.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 1, 28
"c:\TaskFlow\src\data\taskOptions.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 7, 69
"c:\TaskFlow\src\data\team.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 3, 42
"c:\TaskFlow\src\data\terms.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 2, 55
"c:\TaskFlow\src\data\work.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 1, 23
"c:\TaskFlow\src\hooks\useAuthTokenRefresh.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 5, 23
"c:\TaskFlow\src\hooks\useBoardFilterAndPagination.jsx", "JavaScript JSX", 106, 0, 0, 0, 0, 10, 116
"c:\TaskFlow\src\hooks\useLockScroll.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 3, 24
"c:\TaskFlow\src\hooks\useMediaQuery.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 8, 41
"c:\TaskFlow\src\hooks\useResponsive.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 5, 22
"c:\TaskFlow\src\hooks\useSocket.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 6, 30
"c:\TaskFlow\src\hooks\useTaskSorter.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 8, 109
"c:\TaskFlow\src\index.css", "PostCSS", 0, 0, 191, 0, 6, 38, 235
"c:\TaskFlow\src\main.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\TaskFlow\src\pages\DashboardPage.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 16, 127
"c:\TaskFlow\src\pages\HomePage.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 4, 63
"c:\TaskFlow\src\pages\LoginPage.jsx", "JavaScript JSX", 161, 0, 0, 0, 0, 8, 169
"c:\TaskFlow\src\pages\PrivacyPage.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 5, 29
"c:\TaskFlow\src\pages\RegisterPage.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 5, 48
"c:\TaskFlow\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 13, 210
"c:\TaskFlow\src\pages\SettingsPage.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 6, 73
"c:\TaskFlow\src\pages\TermsPage.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 6, 30
"c:\TaskFlow\src\pages\errors\Error400.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\TaskFlow\src\pages\errors\Error401.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\TaskFlow\src\pages\errors\Error403.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\TaskFlow\src\pages\errors\Error404.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 2, 15
"c:\TaskFlow\src\pages\errors\Error500.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\TaskFlow\src\store\authStore.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\TaskFlow\src\store\boardStore.js", "JavaScript", 0, 150, 0, 0, 0, 24, 174
"c:\TaskFlow\src\store\modalsStore.js", "JavaScript", 0, 32, 0, 0, 0, 11, 43
"c:\TaskFlow\src\store\registerStore.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\TaskFlow\src\store\taskStore.js", "JavaScript", 0, 212, 0, 0, 0, 18, 230
"c:\TaskFlow\src\store\userStore.js", "JavaScript", 0, 7, 0, 0, 0, 5, 12
